Month,Region,Sales,Expenses,Profit
Oct,East,1760,1738,22
Dec,West,3802,1874,1928
Mar,East,4836,3514,1322
May,West,2672,2038,634
Jan,South,4116,740,3376
Jul,East,3633,1797,1836
Sep,South,3583,3341,242
Jul,South,3378,2302,1076
Aug,West,2731,3756,-1025
Nov,North,4688,1054,3634
Feb,West,1092,1248,-156
Jan,North,2548,2157,391
Apr,East,4935,2150,2785
May,South,2517,3046,-529
Feb,North,1226,3276,-2050
Jun,North,2789,3313,-524
Apr,West,4193,3678,515
Jan,West,3164,2159,1005
Oct,South,1437,1438,-1
Jun,West,1052,974,78
Apr,North,4139,1382,2757
Jun,South,2298,3924,-1626
Sep,South,1527,2967,-1440
May,South,3746,3347,399
Jan,East,4538,2470,2068
Jul,East,3341,3279,62
Aug,South,1148,1817,-669
Mar,South,4052,1315,2737
Feb,North,1297,1898,-601
Apr,North,4643,3888,755
Feb,East,3534,1183,2351
Feb,East,3392,3696,-304
Dec,East,2472,1357,1115
Sep,North,1862,1548,314
Sep,North,2893,3451,-558
Nov,East,4427,2526,1901
Dec,East,2142,3195,-1053
Sep,West,1246,1642,-396
Feb,East,3876,758,3118
Oct,West,4731,3041,1690
Jan,West,1163,2605,-1442
Mar,South,2659,954,1705
Jul,North,1091,2582,-1491
Mar,North,3645,3026,619
Jun,North,2539,3026,-487
Mar,East,2635,923,1712
Apr,East,3647,1710,1937
Jun,West,3165,3498,-333
May,North,4817,1813,3004
Jan,North,4030,2959,1071
Jul,West,2044,2820,-776
Dec,South,1521,1219,302
Jun,East,4435,2530,1905
Mar,South,3250,1939,1311
Mar,West,1916,3285,-1369
Jan,East,1831,1252,579
Jan,East,2477,672,1805
Feb,East,1782,3186,-1404
Sep,South,4148,2023,2125
Aug,West,3286,2952,334
Aug,West,4009,2776,1233
Sep,North,1330,1190,140
Mar,North,1732,3248,-1516
Jul,South,4914,3323,1591
Nov,North,3677,3547,130
Dec,East,3240,780,2460
Feb,East,2620,1968,652
Jul,West,4103,2187,1916
Mar,East,4092,1570,2522
Apr,West,3956,2132,1824
Jun,North,4402,1470,2932
Jan,North,4468,2342,2126
Jul,East,3342,2912,430
Sep,East,2724,2336,388
May,East,1406,3853,-2447
Sep,South,2073,3886,-1813
Sep,North,3142,3523,-381
Sep,South,2045,596,1449
May,South,4714,2085,2629
Jan,West,1293,1737,-444
Feb,North,3119,3806,-687
May,South,3367,2039,1328
Mar,West,3944,2405,1539
May,West,1676,2041,-365
Jun,West,3210,3903,-693
Aug,North,3729,3378,351
Jul,South,4897,1606,3291
Oct,West,3971,1734,2237
Jul,North,2309,3358,-1049
Jan,North,4360,2845,1515
Oct,South,4284,1313,2971
Jan,South,3855,1548,2307
Nov,West,1545,1969,-424
Oct,North,2657,2628,29
Sep,South,3299,3288,11
Dec,North,4878,3705,1173
Feb,North,2751,1471,1280
Nov,North,4870,1222,3648
Sep,North,2622,1923,699
Jul,West,1830,606,1224
